metagenome	source	function	abundance	avg eValue	avg % ident	avg align len	# hits	
4572530.3	GenBank	(GlcNAc)2 ABC transporter ATP-binding component 2	1	-13	100	34	1	
4572530.3	GenBank	(GlcNAc)2 ABC transporter permease component 1	1	-40	91.57	83	1	
4572530.3	GenBank	(Na+ and K+) ATPase, alpha+ catalytic subunit precursor	1	-17	93.62	47	1	
4572530.3	GenBank	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	1	-13	85	40	1	
4572530.3	GenBank	1,4-alpha-glucan branching enzyme	5	-44.6	82.9	100.4	3	
4572530.3	GenBank	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	2	-11	100	33	1	
4572530.3	GenBank	1-acyl-sn-glycerol-3-phosphate acyltransferase	1	-62	100	115	1	
4572530.3	GenBank	1-acyl-sn-glycerol-3-phosphate acyltransferase eta	1	-7	92.86	28	1	
4572530.3	GenBank	1-acyl-sn-glycerol-3-phosphate acyltransferase theta-B	2	-5	88.89	27	1	
4572530.3	GenBank	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	4	-22	87.27	55	1	
4572530.3	GenBank	1-acylglycerol-3-phosphate O-acyltransferase 3	1	-14	97.44	39	1	
4572530.3	GenBank	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	1	-5	77.78	27	1	
4572530.3	GenBank	1-acylglycerol-3-phosphate O-acyltransferase 9	4	-7	78.833	33.25	1	
4572530.3	GenBank	1-aminocyclopropane-carboxilate synthase	4	-10	75.503	39	1	
4572530.3	GenBank	1-deoxy-D-xylulose 5-phosphate synthase	1	-16	100	40	1	
4572530.3	GenBank	1-deoxy-D-xylulose-5-phosphate synthase	5	-24.8	82.524	65.2	3	
4572530.3	GenBank	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-4	2	-19	81.98	55.5	1	
4572530.3	GenBank	10-formyltetrahydrofolate dehydrogenase	3	-8.667	92.79	32.667	1	
4572530.3	GenBank	100 kDa thyroid hormone receptor associated protein	3	-16.667	92.61	45.667	1	
4572530.3	GenBank	10C light meromyosin	1	-24	93.33	60	1	
4572530.3	GenBank	11-beta-hydroxysteroid dehydrogenase	3	-10	73.353	45	1	
4572530.3	GenBank	11-beta-hydroxysteroid dehydrogenase type 3	1	-17	93.62	47	1	
4572530.3	GenBank	11-cis retinol dehydrogenase	1	-13	76.6	47	1	
4572530.3	GenBank	11-zinc-finger transcription factor	1	-13	91.67	36	1	
4572530.3	GenBank	1110037F02Rik protein	1	-13	75	44	1	
4572530.3	GenBank	11BetaHSD2	2	-22	86.21	58	1	
4572530.3	GenBank	123F2 protein	2	-11	84.21	38	1	
4572530.3	GenBank	14 kDa apolipoprotein	1	-24	87.5	64	1	
4572530.3	GenBank	14-3-3 E1 protein	2	-17.5	95.455	45	1	
4572530.3	GenBank	14-3-3 ETA	1	-9	93.94	33	1	
4572530.3	GenBank	14-3-3 eta protein	1	-9	93.94	33	1	
4572530.3	GenBank	14-3-3 gamma 1	3	-7.333	98.89	29.333	1	
4572530.3	GenBank	14-3-3 protein eta chain	1	-9	93.94	33	1	
4572530.3	GenBank	14-3-3.a protein	1	-11	84.62	39	1	
4572530.3	GenBank	14-3-3C2 protein	1	-8	90.32	31	1	
4572530.3	GenBank	14-alpha demethylase	4	-19	91.855	50.25	2	
4572530.3	GenBank	14S cohesin RAD21 subunit	3	-26.667	99.087	60	1	
4572530.3	GenBank	15-hydroxyprostaglandin dehydrogenase	3	-10.333	84.87	35.333	1	
4572530.3	GenBank	16S RNA G1207 methylase RsmC	1	-35	68.93	103	1	
4572530.3	GenBank	16S rRNA-processing protein	1	-40	91.46	82	1	
4572530.3	GenBank	17 alpha-hydroxylase/17,20-lyase	2	-21	100	50.5	1	
4572530.3	GenBank	17 beta hydroxysteroid dehydrogenase 4	3	-11	89.19	36.667	1	
4572530.3	GenBank	17-beta hydroxysteroid dehydrogenase	1	-21	98.04	51	1	
4572530.3	GenBank	17-beta hydroxysteroid dehydrogenase type 1	2	-8.5	86.71	34	2	
4572530.3	GenBank	17-beta hydroxysteroid dehydrogenase type 12	1	-16	72	50	1	
4572530.3	GenBank	17-beta hydroxysteroid dehydrogenase type 8	2	-14	91.49	41	1	
4572530.3	GenBank	2	1	-7	100	26	1	
4572530.3	GenBank	2',3'-cyclic-nucleotide 2'-phosphodiesterase	2	-36.5	87.805	82	2	
4572530.3	GenBank	2',5'-phosphodiesterase 12	1	-7	78.12	32	1	
4572530.3	GenBank	2,3-cyclic-nucleotide 3-phosphodiesterase	3	-23.667	80.42	66.667	1	
4572530.3	GenBank	2,4-dienoyl CoA reductase 1, mitochondrial	1	-6	93.33	30	1	
4572530.3	GenBank	2,4-dienoyl-CoA reductase [NADPH]	1	-31	76.19	84	1	
4572530.3	GenBank	2-5-3p	1	-10	96.97	33	1	
4572530.3	GenBank	2-acylglycerol O-acyltransferase 1	1	-7	87.1	31	1	
4572530.3	GenBank	2-acylglycerol O-acyltransferase 2-A	1	-5	79.31	29	1	
4572530.3	GenBank	2-amino-3-ketobutyrate coenzyme A ligase	2	-21	93.585	54.5	2	
4572530.3	GenBank	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2	-9.5	73.32	42.5	2	
4572530.3	GenBank	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	1	-17	62.5	72	1	
4572530.3	GenBank	2-dehydro-3-deoxygluconokinase	2	-12	81.91	44.5	1	
4572530.3	GenBank	2-deoxyribose-5-phosphate aldolase homolog	2	-6	86.67	30	1	
